Название,Количество участников,Цена1,Цена2,Цена3
Северный АО,4200,400,1350,1850
Северо-Западный АО,1800,400,1350,1850
Центральный АО Объявления,2926,400,1350,1850
Тушино/Путилково,1739,400,1350,1850
Митино/Отрадное,2926,400,1350,1850
Восточный АО Объявления,2926,400,1350,1850
ЗАО,4000,400,1350,1850
Южный АО Объявления,4500,400,1350,1850
Юго-Западный АО,5000,400,1350,1850
Юго-Восточный АО,2400,400,1350,1850
Коммунарка/Троицк,15900,800,2400,2950
Бутово,16800,800,2400,2800
Красногорск,13000,800,2400,2800
Люберцы/Дзержинский/котельники,9800,600,1750,2200
Балашиха,9700,600,1750,2200
Сосенское,9600,600,1750,2200
Долгопрудный,8500,600,1750,2200
Нахабино/Опалиха,7700,600,1750,2200
Ногинск/Электросталь,6700,600,1750,2200
Зеленоград/Сходня,5700,600,1750,2200
Видное,5800,400,1350,1850
Серпухов/Пущино,4700,400,1350,1850
Пушкино/Ивантеевка,4595,400,1350,1850
Щербинка,4790,400,1350,1850
Чехов,3800,400,1350,1850
Щелково/Фрязино,3633,400,1350,1850
Химки,7000,400,1350,1850
Саларьево,3600,400,1350,1850
Коломна,3000,400,1350,1850
Домодедово,2700,400,1350,1850
Подольск/Климовск,2700,400,1350,1850
Раменский округ,2562,400,1350,1850
Остафьево/Дрожжино,2000,400,1350,1850
Лобня,2000,400,1350,1850
Одинцово,1900,400,1350,1850
Орехово-Зуево,1600,400,1350,1850
Щелково,1500,400,1350,1850
Ивантеевка,1685,400,1350,1850
Объявления Щёлково Фрязино,3000,400,1350,1850
Калининград,20500,800,2400,2950
Иркутск,14000,800,2400,2950
Крым,13500,800,2400,2950
Владивосток,12000,800,2400,2950
Нижний Новгород,12000,800,2400,2950
Южно-Сахалинск,11000,800,2400,2950
Уфа,10400,800,2400,2950
Новосибирск,9700,600,1750,2200
Казань,9200,600,1750,2200
Санкт-Петербург,8500,600,1750,2200
Хабаровск,8400,600,1750,2200
Саратов,8300,600,1750,2200
Ставрополь,8100,600,1750,2200
Томск,8000,600,1750,2200
Чита,7000,600,1750,2200
Челябинск,6100,600,1750,2200
Екатеринбург,5800,400,1350,1850
Самара,4100,400,1350,1850
Пермь,4241,400,1350,1850
Омск,3543,400,1350,1850
Камчатка,3668,400,1350,1850
Саранск,3190,400,1350,1850
Воронеж,3000,400,1350,1850
Уссурийск,1600,400,1350,1850
Химки,2252,400,,
ЮАО,3100,400,1350,1850
Юго-Восточный АО,2400,400,1350,1850
Мытищи,1163,400,,
Реутов,Удален,Удален,Удален,Удален
Тюмень,Удален,Удален,Удален,Удален
Подольск Чат,11000,1500,2000,3000
Бутово Чат,11000,1500,2000,3000
